# Credit: http://www.martynhicks.uk/weather/wxsqlsumm.php
DATE,RAIN DAY mm,RAIN MONTH mm,MAX GUST mph,MAX TEMP°C,MIN TEMP°C,MIN WINDCHILL°C,MAX HEAT IDX°C
2018-01-01,3.0,3.0,29.0,8.2,5.7,2.5,8.2
2018-01-02,13.6,16.6,34.5,12.0,5.1,3.2,12.0
2018-01-03,0.6,17.2,48.3,10.2,7.1,2.8,10.2
2018-01-04,4.6,21.8,38.0,11.5,5.6,4.2,11.5
2018-01-05,0.6,22.4,27.0,7.5,1.6,1.6,7.5
2018-01-06,0.2,22.6,19.6,4.6,0.9,-1.7,4.6
2018-01-07,0.0,22.6,25.3,4.8,-0.1,-3.8,4.8
2018-01-08,0.0,22.6,16.1,3.4,0.6,-2.3,3.4
2018-01-09,0.4,23.0,19.6,8.6,2.8,-0.4,8.6
2018-01-10,3.4,26.4,13.0,9.7,1.1,1.1,9.7
2018-01-11,0.0,26.4,12.0,7.2,0.2,-0.9,7.2
2018-01-12,0.0,26.4,15.0,6.7,0.9,0.9,6.7
2018-01-13,0.2,26.6,20.7,7.8,5.0,1.7,7.8
2018-01-14,0.0,26.6,18.4,7.1,3.6,1.1,7.1
2018-01-15,10.4,37.0,27.0,10.2,6.6,3.1,10.2
2018-01-16,0.6,37.8,29.0,6.7,3.3,-1.0,6.7
2018-01-17,4.8,42.6,35.0,9.4,2.8,-2.0,9.4
2018-01-18,0.2,42.8,41.4,10.8,3.4,1.6,10.8
2018-01-19,0.0,42.8,14.0,7.7,2.8,0.1,7.7
2018-01-20,2.2,45.0,14.0,6.6,2.8,0.6,6.6
2018-01-21,17.4,62.4,23.0,10.4,2.5,-1.1,10.4
2018-01-22,0.6,63.0,18.4,9.4,7.2,5.4,9.4
2018-01-23,2.2,65.2,24.2,13.6,8.4,6.4,13.6
2018-01-24,10.0,75.2,34.5,13.3,6.8,4.0,13.3
2018-01-25,1.0,76.2,20.7,10.2,5.4,3.5,10.2
2018-01-26,0.2,76.4,13.0,8.8,4.0,3.3,8.8
2018-01-27,0.4,76.8,27.0,10.6,3.8,2.4,10.6
2018-01-28,0.2,77.0,27.9,10.9,9.0,6.9,10.9
2018-01-29,0.0,77.0,34.5,11.1,2.8,2.8,11.1
2018-01-30,0.2,77.2,18.4,9.6,0.3,0.3,9.6
2018-01-31,0.8,78.0,27.0,9.2,3.9,0.4,9.2
2018-02-01,0.0,0.0,21.0,7.3,3.7,1.3,7.3
2018-02-02,0.0,0.0,15.0,9.3,2.8,0.9,9.3
2018-02-03,2.4,2.4,15.0,6.1,3.3,1.3,6.1
2018-02-04,0.0,2.4,20.7,5.6,1.8,-0.4,5.6
2018-02-05,0.0,2.4,13.0,4.4,0.8,-1.9,4.4
2018-02-06,0.0,2.4,12.0,5.0,-0.3,-0.6,5.0
2018-02-07,0.8,3.2,15.0,5.6,-1.4,-1.4,5.6
2018-02-08,5.6,8.8,2.3,8.7,1.7,1.7,8.7
2018-02-09,1.2,10.0,0.0,7.7,1.3,1.3,7.7
2018-02-10,2.2,12.2,0.0,10.3,0.8,0.8,10.3
2018-02-11,0.2,12.4,19.6,8.1,1.6,-1.6,8.1
2018-02-12,0.0,12.4,18.4,6.7,1.2,-2.1,6.7
2018-02-13,4.8,17.2,31.1,6.3,0.6,-0.3,6.3
2018-02-14,6.0,23.2,27.9,9.6,-0.2,-2.7,9.6
2018-02-15,0.8,24.0,27.9,8.8,4.0,1.7,8.8
2018-02-16,0.0,24.0,13.0,9.9,1.2,0.1,9.9
2018-02-17,0.0,24.0,13.0,10.2,2.9,1.1,10.2
2018-02-18,0.4,24.4,15.0,8.8,5.7,3.1,8.8
2018-02-19,0.8,25.2,11.5,13.4,7.6,6.7,13.4
2018-02-20,0.0,25.2,24.2,11.1,6.7,3.6,11.1
2018-02-21,0.0,25.2,14.0,8.7,3.7,2.9,8.7
2018-02-22,0.0,25.2,18.4,4.8,-0.5,-3.1,4.8
2018-02-23,0.0,25.2,19.6,6.0,-1.9,-5.4,6.0
2018-02-24,0.0,25.2,19.6,5.8,-2.2,-4.1,5.8
2018-02-25,0.0,25.2,19.6,5.6,-1.2,-5.1,5.6
2018-02-26,0.0,25.2,21.0,2.4,-3.1,-6.8,2.4
2018-02-27,0.0,25.2,15.0,2.3,-4.6,-6.7,2.3
2018-02-28,0.0,25.2,26.5,0.6,-5.6,-11.9,0.6
2018-03-01,0.0,0.0,31.1,-2.1,-5.1,-11.2,-2.1
2018-03-02,0.0,0.0,30.0,-1.0,-2.3,-9.2,-1.0
2018-03-03,1.8,1.8,20.0,3.7,-0.9,-6.4,3.7
2018-03-04,3.6,5.4,18.4,10.2,1.6,-0.9,10.2
2018-03-05,8.6,14.0,18.4,10.4,4.4,2.6,10.4
2018-03-06,0.0,14.0,10.4,9.6,4.1,2.5,9.6
2018-03-07,0.0,14.0,22.0,9.3,2.6,1.2,9.3
2018-03-08,1.8,15.8,26.5,9.7,4.1,0.6,9.7
2018-03-09,9.8,25.6,15.0,11.1,3.1,3.0,11.1
2018-03-10,6.8,32.8,25.3,13.5,7.2,7.2,13.5
2018-03-11,2.8,35.6,23.0,13.7,5.7,4.8,13.7
2018-03-12,4.2,40.0,12.7,9.7,6.3,5.2,9.7
2018-03-13,0.0,40.0,16.1,11.9,4.9,3.1,11.9
2018-03-14,1.0,41.0,29.0,12.0,5.0,2.5,12.0
2018-03-15,6.8,48.0,23.0,12.8,7.8,4.3,12.8
2018-03-16,11.4,59.4,15.0,12.5,4.6,4.0,12.5
2018-03-17,0.4,59.8,26.5,7.2,-1.5,-5.6,7.2
2018-03-18,0.0,59.8,24.2,-0.2,-2.2,-7.5,-0.2
2018-03-19,2.4,62.2,25.3,4.8,-1.8,-5.4,4.8
2018-03-20,0.0,62.2,18.4,9.0,1.2,-1.2,9.0
2018-03-21,0.0,62.2,19.6,8.9,-0.4,-0.4,8.9
2018-03-22,0.4,62.6,22.0,8.6,5.1,2.3,8.6
2018-03-23,4.4,67.0,22.0,11.7,6.6,3.9,11.7
2018-03-24,3.8,70.8,12.0,9.4,5.4,3.3,9.4
2018-03-25,0.0,70.8,15.0,13.7,5.4,3.8,13.7
2018-03-26,0.6,71.4,17.3,12.7,1.8,1.8,12.7
2018-03-27,6.2,77.8,21.0,12.6,6.1,3.0,12.6
2018-03-28,7.2,85.0,24.2,9.3,4.8,2.3,9.3
2018-03-29,4.6,89.6,17.3,7.9,2.9,1.0,7.9
2018-03-30,7.6,97.2,14.0,6.6,1.2,0.0,6.6
2018-03-31,4.2,101.4,16.1,6.9,3.5,0.8,6.9
2018-04-01,7.8,7.8,16.1,8.1,2.2,-1.8,8.1
2018-04-02,11.4,19.4,24.2,13.8,2.2,-1.6,13.8
2018-04-03,0.0,19.4,26.5,14.4,8.3,6.8,14.4
2018-04-04,4.0,23.4,24.2,12.6,5.6,2.1,12.6
2018-04-05,0.0,23.4,16.1,11.9,2.7,2.0,11.9
2018-04-06,0.0,23.4,27.0,15.5,5.6,2.2,15.5
2018-04-07,3.2,26.6,16.1,13.4,7.8,7.0,13.4
2018-04-08,0.8,27.4,10.4,11.5,7.8,7.3,11.5
2018-04-09,4.0,31.4,12.0,10.2,7.9,6.8,10.2
2018-04-10,2.4,33.8,15.0,10.4,8.8,7.2,10.4
2018-04-11,5.8,39.6,18.4,9.8,7.9,5.9,9.8
2018-04-12,0.0,39.6,15.0,8.8,6.5,4.6,8.8
2018-04-13,0.2,39.8,14.0,12.2,6.6,4.9,12.2
2018-04-14,0.0,39.8,12.0,17.3,8.3,7.4,17.3
2018-04-15,0.6,40.4,22.0,13.4,9.3,7.4,13.4
2018-04-16,0.2,40.6,25.3,14.3,7.8,5.8,14.3
2018-04-17,0.0,40.6,33.4,14.2,11.1,9.1,14.2
2018-04-18,0.2,40.8,25.3,23.3,12.7,11.2,23.3
2018-04-19,0.0,40.8,13.0,24.3,11.7,11.7,24.3
2018-04-20,0.0,40.8,9.2,22.1,9.1,8.7,22.1
2018-04-21,2.2,43.0,21.0,23.7,9.8,9.5,23.7
2018-04-22,0.2,43.2,19.6,16.4,9.9,7.8,16.4
2018-04-23,0.0,43.2,22.0,14.1,8.7,7.5,14.1
2018-04-24,5.4,48.6,21.0,14.2,9.3,7.3,14.2
2018-04-25,0.0,48.6,27.6,13.8,7.7,6.3,13.8
2018-04-26,0.4,49.0,26.5,13.5,7.7,5.3,13.5
2018-04-27,14.0,63.0,14.0,10.3,6.8,4.6,10.3
2018-04-28,0.6,63.6,16.1,10.6,6.3,4.5,10.6
2018-04-29,0.0,63.6,20.7,9.6,5.3,3.7,9.6
2018-04-30,0.0,63.6,24.2,12.2,4.1,0.5,12.2
2018-05-01,0.0,0.0,24.2,13.8,2.9,2.8,13.8
2018-05-02,11.4,11.4,26.5,14.3,8.2,5.3,14.3
2018-05-03,0.0,11.4,17.3,15.8,6.2,5.8,15.8
2018-05-04,0.0,11.4,10.4,16.4,10.3,9.6,16.4
2018-05-05,0.0,11.4,11.5,22.6,9.0,9.0,22.6
2018-05-06,0.0,11.4,12.0,26.4,9.2,9.2,26.4
2018-05-07,0.0,11.4,12.0,27.3,11.0,11.0,27.7
2018-05-08,0.0,11.4,18.4,17.1,9.6,8.3,17.1
2018-05-09,0.0,11.4,19.6,16.6,8.6,8.1,16.6
2018-05-10,0.2,11.6,19.6,15.6,7.2,6.3,15.6
2018-05-11,0.4,12.0,20.7,15.6,6.9,5.1,15.6
2018-05-12,0.2,12.2,9.2,14.4,5.7,5.7,14.4
2018-05-13,0.0,12.2,14.0,18.3,7.0,7.0,18.3
2018-05-14,0.0,12.2,12.0,21.3,6.4,6.4,21.3
2018-05-15,0.0,12.2,17.3,23.3,8.7,8.7,23.3
2018-05-16,0.0,12.2,19.6,15.9,9.9,9.4,15.9
2018-05-17,0.0,12.2,15.0,18.6,5.8,3.7,18.6
2018-05-18,0.0,12.2,10.4,19.4,5.9,5.7,19.4
