,date,locA,locB,total,month,day_of_week,day_of_month,season,event
0,2018-02-03,30,15,45,February,Saturday,3,Winter,0
1,2018-02-05,30,17,47,February,Monday,5,Winter,0
2,2018-02-24,25,9,34,February,Saturday,24,Winter,0
3,2018-03-03,30,15,45,March,Saturday,3,Spring,0
4,2018-03-05,30,12,42,March,Monday,5,Spring,0
5,2018-03-10,40,20,60,March,Saturday,10,Spring,0
6,2018-03-18,75,25,100,March,Sunday,18,Spring,0
7,2018-03-24,25,14,39,March,Saturday,24,Spring,0
8,2018-03-28,35,15,50,March,Wednesday,28,Spring,0
9,2018-03-30,30,15,45,March,Friday,30,Spring,0
10,2018-03-31,35,20,55,March,Saturday,31,Spring,0
11,2018-04-01,42,13,55,April,Sunday,1,Spring,0
12,2018-04-02,35,15,50,April,Monday,2,Spring,0
13,2018-04-06,28,20,48,April,Friday,6,Spring,0
14,2018-04-07,25,15,40,April,Saturday,7,Spring,0
15,2018-04-08,60,20,80,April,Sunday,8,Spring,0
16,2018-04-18,15,20,35,April,Wednesday,18,Spring,0
17,2018-04-21,41,15,56,April,Saturday,21,Spring,0
18,2018-04-22,25,15,40,April,Sunday,22,Spring,0
19,2018-04-27,20,15,35,April,Friday,27,Spring,0
20,2018-04-28,30,25,55,April,Saturday,28,Spring,0
21,2018-04-30,25,25,50,April,Monday,30,Spring,0
22,2018-05-04,40,20,60,May,Friday,4,Spring,0
23,2018-05-05,35,25,60,May,Saturday,5,Spring,0
24,2018-05-16,45,30,75,May,Wednesday,16,Spring,0
25,2018-05-18,40,15,55,May,Friday,18,Spring,0
26,2018-05-19,51,12,63,May,Saturday,19,Spring,0
27,2018-05-25,20,20,40,May,Friday,25,Spring,0
28,2018-05-26,25,20,45,May,Saturday,26,Spring,0
29,2018-05-28,70,35,105,May,Monday,28,Spring,0
30,2018-05-30,65,23,88,May,Wednesday,30,Spring,0
31,2018-06-01,30,27,57,June,Friday,1,Summer,1
32,2018-06-02,35,15,50,June,Saturday,2,Summer,1
33,2018-06-08,18,19,37,June,Friday,8,Summer,1
34,2018-06-13,30,25,55,June,Wednesday,13,Summer,1
35,2018-06-15,15,28,43,June,Friday,15,Summer,1
36,2018-06-16,36,18,54,June,Saturday,16,Summer,1
37,2018-06-23,30,30,60,June,Saturday,23,Summer,1
