"day","month","year","precip_intensity_max","precip_intensity_avg","precip_type","wind_speed_max","wind_speed_avg","gust_max","gust_avg","temp_min","temp_max","temp_avg","temp_day","temp_night","humidity"
3,2,2018,0.1336,0.019,"rain",3.27,3.25,10.24,4.03,0.18,2.84,1.58,2.84,-3.1,0.83
4,2,2018,0.0129,5e-04,"rain",7.07,7.05,11.88,7.28,-3.1,-0.07,-1.5,-0.2,-3.27,0.76
5,2,2018,0,0,"no_precip",7.72,7.74,9.97,7.84,-4.58,-1.02,-2.71,-1.02,-5.55,0.74
6,2,2018,0,0,"no_precip",5.84,5.86,6.98,5.88,-5.55,-2.78,-4.15,-2.78,-5.11,0.74
7,2,2018,0,0,"no_precip",3.62,3.65,5.26,3.74,-5.11,-0.01,-2.72,-0.01,-2.83,0.68
8,2,2018,0.0342,0.0014,"snow",4.43,4.45,6.38,4.45,-3.29,1.79,-0.87,1.79,-4.88,0.74
9,2,2018,0.4134,0.0384,"rain",7.53,7.55,16.1,8.82,-5.86,0.35,-3.13,0.35,-1.34,0.85
10,2,2018,0.0767,0.0089,"rain",7.6,7.72,10.73,7.72,-1.34,2.9,0.03,2.9,-1.28,0.78
11,2,2018,0.1528,0.0187,"rain",9.82,9.85,13.63,10.86,-2.03,3.14,0.65,2.32,-2.64,0.76
12,2,2018,0,0,"no_precip",7.27,7.32,11.28,7.82,-2.64,1.83,-0.99,1.83,-4.93,0.71
13,2,2018,0.0165,7e-04,"rain",8.76,8.66,15,9.43,-4.93,-0.13,-2.33,-0.13,-4.6,0.74
14,2,2018,0.115,0.0075,"rain",8.71,8.73,14.27,9.7,-4.6,0.32,-2.25,0.32,-1.99,0.8
15,2,2018,0.1357,0.0176,"rain",6.63,6.7,14.16,6.93,-1.99,7.11,3.02,7.11,-0.69,0.84
16,2,2018,0,0,"no_precip",4.17,4.23,10.02,4.65,-0.88,5.52,2.21,5.52,-1.02,0.74
17,2,2018,0,0,"no_precip",2.73,2.74,3.96,2.8,-1.02,5.78,1.79,5.78,-3.36,0.76
18,2,2018,0,0,"no_precip",3.42,3.44,5.51,3.44,-3.5,5.73,0.78,5.73,-1.66,0.8
19,2,2018,0.1896,0.0453,"rain",5.02,5,6.72,5,-1.81,0.88,-0.21,0.82,-0.88,0.89
20,2,2018,0.134,0.0103,"rain",3.01,3.07,5.74,3.16,-0.51,3.45,1.38,3.45,-1.94,0.88
21,2,2018,0,0,"no_precip",5.27,5.29,8.38,5.45,-2.72,0.6,-1.09,0.6,-5.23,0.75
22,2,2018,0,0,"no_precip",7.31,7.32,15.74,8.18,-5.62,-0.7,-3.18,-0.7,-6.85,0.69
23,2,2018,0,0,"no_precip",7.79,7.79,9.36,7.79,-6.85,-2.91,-4.86,-2.91,-9.05,0.68
24,2,2018,0,0,"no_precip",8.92,8.92,12.12,8.92,-9.05,-0.76,-5.33,-0.76,-9.69,0.6
25,2,2018,0,0,"no_precip",8.51,8.52,10.6,8.6,-9.69,-4.51,-7.05,-4.51,-10.47,0.56
26,2,2018,0,0,"no_precip",8.09,8.08,10.92,8.17,-10.47,-6.52,-8.43,-6.52,-9.91,0.62
27,2,2018,0,0,"no_precip",5.86,5.89,8.05,6.01,-9.91,-6.46,-7.86,-6.46,-12.37,0.59
28,2,2018,0,0,"no_precip",8.45,8.42,14.93,10.34,-14.29,-9.09,-11.55,-9.8,-14.6,0.6
1,3,2018,0,0,"no_precip",11.04,11.05,15.31,12.16,-14.6,-5.82,-11.03,-5.82,-11.63,0.56
2,3,2018,0,0,"no_precip",9.4,9.36,15.76,10.08,-11.85,-7.2,-9.56,-8.68,-9,0.69
3,3,2018,0.1913,0.014,"snow",5.05,5.08,11.21,5.79,-7.17,0.5,-3.55,0.5,-2.01,0.86
4,3,2018,0.4502,0.0891,"rain",4.5,4.53,9.59,5.25,-2.01,4.9,1.05,4.9,-1.14,0.88
5,3,2018,0,0,"no_precip",4.75,4.76,6.02,4.81,-1.14,6.35,2.27,6.35,1.42,0.87
6,3,2018,0,0,"no_precip",3.79,3.8,9.18,4.21,1.41,6.86,3.72,6.86,-0.04,0.85
7,3,2018,0.3648,0.0436,"rain",4.08,4.08,10.23,4.37,-0.04,3.8,1.66,3.8,-0.74,0.89
8,3,2018,0.3956,0.0362,"rain",7.59,7.5,14.89,9.42,-0.74,4.31,1.4,4.31,-0.18,0.8
9,3,2018,0.2807,0.0239,"rain",4.38,4.43,9.65,4.89,-0.18,5.9,3.47,5.9,4.87,0.86
10,3,2018,0.3858,0.0374,"rain",5.14,5.09,7.14,5.09,6.08,12.32,9.38,12.32,4.45,0.87
11,3,2018,0.4042,0.0734,"rain",3.64,3.62,8.96,3.98,4.43,12.67,8.79,12.67,4.39,0.86
12,3,2018,0.1442,0.0075,"rain",6.93,6.9,12.8,7.39,4.39,10.74,6.17,10.47,0.11,0.86
13,3,2018,0.3683,0.0491,"rain",5.97,5.97,9.36,6.07,0.11,4.74,2.54,4.74,-0.83,0.88
14,3,2018,0,0,"no_precip",5.53,5.52,9.59,5.83,-0.83,11.67,5.3,11.67,2.86,0.79
15,3,2018,0.1303,0.0091,"rain",5.69,5.71,11.31,5.83,2.86,5.99,4.34,5.99,3.09,0.82
16,3,2018,0.0545,0.0023,"rain",4.04,4.13,7.52,4.13,0.78,8.02,5.13,8.02,-7.67,0.87
17,3,2018,0,0,"no_precip",10.69,10.63,14.82,11.28,-9.63,0.15,-7.21,-6.55,-9.4,0.8
18,3,2018,0,0,"no_precip",9.4,9.41,12.94,9.41,-9.27,-5.46,-7.43,-5.49,-8.05,0.67
19,3,2018,0,0,"no_precip",8.24,8.25,9.21,8.31,-8.69,-2.78,-5.71,-2.79,-4.22,0.58
20,3,2018,0.1397,0.0104,"rain",7.25,7.23,12.61,8.54,-3.97,1.46,-0.56,1.46,-0.68,0.76
21,3,2018,0.0265,0.0011,"rain",4.35,4.4,10.57,5.64,-0.78,4.14,1.5,4.14,-0.88,0.78
22,3,2018,0.5907,0.0682,"rain",6.2,6.2,10.37,6.41,-0.59,4.83,2.13,4.83,0.8,0.85
23,3,2018,0,0,"no_precip",6.66,6.6,11.66,7.16,0.29,4.65,2.15,4.65,2.21,0.8
24,3,2018,0,0,"no_precip",4.24,4.26,5.22,4.27,2.21,10.21,4.54,10.21,2.49,0.78
25,3,2018,0,0,"no_precip",3.9,3.88,5.25,3.88,2.49,4.95,3.66,4.95,1.22,0.85
26,3,2018,0,0,"no_precip",2.75,2.74,3.18,2.26,1.1,6.21,4.01,6.21,-0.88,0.84
27,3,2018,0.3826,0.0563,"rain",4.73,4.71,10.51,5.5,-0.88,6.35,2.65,6.25,3.81,0.87
28,3,2018,0.764,0.0912,"rain",4.81,4.82,8.03,5.06,-1.07,5.72,3.06,5.72,-0.49,0.87
29,3,2018,0.0984,0.0057,"rain",5.24,5.27,10.12,5.66,-0.06,6.81,3.09,6.81,1.41,0.78
30,3,2018,0.0773,0.0052,"rain",5.46,5.48,13.61,6.87,1.41,6.95,3.65,6.95,-0.46,0.84
31,3,2018,0,0,"no_precip",4.81,4.8,12.14,6.42,-0.46,7.21,3.38,7.21,2,0.79
1,4,2018,0.2788,0.0242,"rain",4.25,4.21,10.56,4.8,1.86,5.13,3.4,5.13,1.79,0.83
2,4,2018,0.2907,0.032,"rain",5.9,5.86,9.61,6.12,1.79,13.59,6.36,13.59,6.62,0.79
3,4,2018,0.5143,0.0808,"rain",6.07,6.05,10.18,6.71,6.17,14.91,10.22,14.91,3.84,0.82
4,4,2018,0.1547,0.0161,"rain",6.55,6.53,11.55,7.24,3.84,12.96,7.66,12.96,0.8,0.8
5,4,2018,0,0,"no_precip",6.3,6.28,10.65,6.5,0.44,6.4,3.86,6.4,-0.13,0.75
6,4,2018,0,0,"no_precip",6.4,6.35,9.84,6.71,-0.13,15.19,7.11,15.19,5.33,0.68
7,4,2018,0,0,"no_precip",4.77,4.76,9.71,5.04,5.33,19.29,11.81,19.29,7.79,0.7
8,4,2018,0.0238,0.001,"rain",3.03,3.08,4.91,3.19,6.09,11.1,8.88,11.1,4.68,0.89
9,4,2018,0.066,0.0091,"rain",4.13,4.13,5.25,4.13,4.63,6.71,5.48,6.07,5.56,0.93
10,4,2018,0.3788,0.0342,"rain",3.89,3.85,7.65,4.08,5.86,17.52,11.33,17.52,8.43,0.79
11,4,2018,0.0581,0.0024,"rain",2.69,2.7,4.43,3.07,5.87,12.93,9.77,12.93,5.87,0.85
12,4,2018,0,0,"no_precip",3.67,3.64,4.86,3.64,5.88,8.2,6.8,8.2,5.88,0.92
13,4,2018,0.2042,0.0103,"rain",3.02,3,4.37,3.03,6.43,11.09,7.83,11.09,3.98,0.89
14,4,2018,0.3276,0.025,"rain",2.42,2.42,4.18,2.55,3.98,12.43,8.21,12.43,7.67,0.85
15,4,2018,0.3536,0.0538,"rain",3.11,3.13,4.34,3.2,7.67,13.78,10.55,13.78,5.63,0.87
16,4,2018,0,0,"no_precip",4.6,4.54,7.96,4.85,5.63,12.53,9.62,12.53,5.71,0.81
17,4,2018,0,0,"no_precip",4.52,4.46,7.17,4.56,5.71,17.89,11.94,17.89,10.25,0.67
18,4,2018,0,0,"no_precip",3.54,3.56,4.9,3.65,10.25,20.9,15.5,20.9,12.52,0.65
19,4,2018,0,0,"no_precip",3.73,3.69,5.89,3.74,12.52,22.82,16.86,22.82,12.95,0.62
20,4,2018,0,0,"no_precip",2.95,2.93,5.49,2.93,10.38,18.63,15.07,18.63,8.05,0.71
21,4,2018,0,0,"no_precip",3.22,3.23,4.7,3.24,8.05,16.3,12.78,16.3,13.41,0.8
22,4,2018,0,0,"no_precip",4.97,5,9.9,5.48,13.35,20.34,15.77,20.34,7.15,0.72
23,4,2018,0,0,"no_precip",6.26,6.25,8.17,6.28,6.62,13.26,11.05,13.26,6.22,0.78
24,4,2018,0,0,"no_precip",6.73,6.72,10.86,6.9,6.22,14.36,10.75,14.36,10.1,0.82
25,4,2018,0,0,"no_precip",7.93,7.91,17.19,8.97,10.1,13.42,11.5,13.42,5.02,0.77
